id,momed,grade,verb,perfo
56,5.5,1,13.02,6.49
56,5.5,2,15.76,22.48
56,5.5,4,24.73,21.76
56,5.5,6,22.74,31.12
57,9.5,1,16.04,23.15
57,9.5,2,18.75,24.9
57,9.5,4,33.5,31.66
57,9.5,6,45.57,51.67
58,11.5,1,27.46,15.63
58,11.5,2,36.13,34.73
58,11.5,4,41.77,45.44
58,11.5,6,58.45,52.49
59,9.5,1,14.7,1.69
59,9.5,2,21.1,19.48
59,9.5,4,25.19,34.29
59,9.5,6,33.1,36.18
60,14,1,31.32,23.49
60,14,2,36.98,37.04
60,14,4,42.83,52.66
60,14,6,55.97,56.26
61,11.5,1,18.45,7.74
61,11.5,2,26.41,17.27
61,11.5,4,29.69,35.69
61,11.5,6,48.74,36.72
62,5.5,1,10.55,9.27
62,5.5,2,13.21,20.46
62,5.5,4,25.63,44.09
62,5.5,6,34.09,43.64
63,14,1,27.57,15.8
63,14,2,26.21,32.59
63,14,4,35.45,43.76
63,14,6,58.99,55.58
64,11.5,1,22.8,31.39
64,11.5,2,34.64,47.33
64,11.5,4,40.16,48.1
64,11.5,6,47.93,64
65,9.5,1,17.74,11.89
65,9.5,2,18.24,15.06
65,9.5,4,26.52,25.54
65,9.5,6,36.09,26.55
66,9.5,1,10.15,9.1
66,9.5,2,18.82,12.33
66,9.5,4,29.29,31.52
66,9.5,6,36.4,36.71
67,9.5,1,15.24,14.81
67,9.5,2,15.54,14.16
67,9.5,4,20.54,34.13
67,9.5,6,24.66,34.15
68,9.5,1,13.96,8.99
68,9.5,2,14.6,19.76
68,9.5,4,23.93,26.86
68,9.5,6,37.9,31.48
69,14,1,26.5,15.85
69,14,2,33.42,27.07
69,14,4,44.3,28.25
69,14,6,48.84,36.84
70,5.5,1,11.56,12.76
70,5.5,2,18.93,19.82
70,5.5,4,23.32,40.6
70,5.5,6,32.32,57.52
71,8,1,17.62,13.78
71,8,2,29.36,33.39
71,8,4,32.59,38.1
71,8,6,40.42,54.01
72,9.5,1,16.52,17.3
72,9.5,2,22.49,19.48
72,9.5,4,19.48,37.67
72,9.5,6,37.37,40.19
73,9.5,1,13.44,11.65
73,9.5,2,26.52,22.54
73,9.5,4,26.09,29.75
73,9.5,6,30.97,40.37
74,8,1,10.86,2.35
74,8,2,17.93,20.61
74,8,4,21.24,26.6
74,8,6,26.09,34.88
75,11.5,1,20.13,36.51
75,11.5,2,24.3,32.63
75,11.5,4,34.84,47.89
75,11.5,6,33.72,53.61
76,9.5,1,24.08,14.65
76,9.5,2,26.85,18.58
76,9.5,4,28.81,30.83
76,9.5,6,37.71,39.84
77,14,1,21.03,19.98
77,14,2,30.74,32.7
77,14,4,37.22,46.26
77,14,6,57.86,61.13
78,11.5,1,26.06,21.6
78,11.5,2,22.78,32.63
78,11.5,4,37.34,42.96
78,11.5,6,41.26,60.92
79,11.5,1,21.49,9.35
79,11.5,2,26,14.88
79,11.5,4,33.26,29.29
79,11.5,6,40.1,41.16
80,11.5,1,33.96,35.96
80,11.5,2,37.5,33.99
80,11.5,4,52.84,49.38
80,11.5,6,57.47,64.75
81,9.5,1,13.27,14.53
81,9.5,2,20.03,15.11
81,9.5,4,21.68,27.95
81,9.5,6,30.01,39.34
82,11.5,1,24.48,20.39
82,11.5,2,24.27,21.8
82,11.5,4,37.19,41.1
82,11.5,6,39.06,55.99
83,11.5,1,17.2,19.25
83,11.5,2,28.18,25.84
83,11.5,4,28.48,40.36
83,11.5,6,43.54,43.03
84,11.5,1,19.05,20.27
84,11.5,2,29.35,21.46
84,11.5,4,34.17,43.98
84,11.5,6,45.71,57.36
85,5.5,1,15.83,11.86
85,5.5,2,16.25,25.07
85,5.5,4,26.04,38.9
85,5.5,6,35.83,53.07
86,11.5,1,18.24,17.83
86,11.5,2,26.56,36.2
86,11.5,4,30.97,46.94
86,11.5,6,40.85,61.92
87,14,1,23.07,13.84
87,14,2,20.94,20.49
87,14,4,30.34,32.46
87,14,6,27.69,43.74
88,8,1,19.26,3.55
88,8,2,21.96,18.13
88,8,4,28.45,48.13
88,8,6,42.05,68.29
89,8,1,22.19,13.14
89,8,2,27.78,19.77
89,8,4,32.47,30.38
89,8,6,37.4,52.92
90,5.5,1,28.27,24.88
90,5.5,2,31.85,40.8
90,5.5,4,34.87,54.98
90,5.5,6,52.5,64.04
91,11.5,1,18.42,3.24
91,11.5,2,19.7,7.93
91,11.5,4,25.3,14.19
91,11.5,6,30.74,20.51
92,14,1,26.1,32.96
92,14,2,32.65,38.1
92,14,4,35.18,47.25
92,14,6,54.9,50.42
93,11.5,1,23.01,23.82
93,11.5,2,32.86,33.66
93,11.5,4,35.18,45.32
93,11.5,6,51.61,67.22
94,14,1,12.13,12.76
94,14,2,22.53,22.45
94,14,4,26.82,27.78
94,14,6,36.01,56.42
95,14,1,14,27.86
95,14,2,26.03,41.2
95,14,4,35.76,44.83
95,14,6,44.85,62.46
96,11.5,1,18.62,14.28
96,11.5,2,19.39,22.99
96,11.5,4,24.93,33.53
96,11.5,6,37.17,45.7
97,11.5,1,21.96,18.61
97,11.5,2,27.56,45.75
97,11.5,4,39.02,43.54
97,11.5,6,49.94,63.72
98,11.5,1,31.34,34.28
98,11.5,2,25.15,37.25
98,11.5,4,41.67,57.86
98,11.5,6,50.94,68.49
99,11.5,1,12.13,28.03
99,11.5,2,23.63,37.49
99,11.5,4,26.12,44.7
99,11.5,6,55.58,63.12
100,5.5,1,16.21,8.01
100,5.5,2,26.93,15.47
100,5.5,4,21.43,32.37
100,5.5,6,40.01,37.47
101,8,1,15.57,16.88
101,8,2,23.74,24.19
101,8,4,31.59,37.36
101,8,6,32.22,49.38
102,11.5,1,20.76,30.54
102,11.5,2,21.07,39.83
102,11.5,4,39.81,57.85
102,11.5,6,48.07,70.41
103,14,1,20.51,11.56
103,14,2,26.41,24.6
103,14,4,35.88,36.16
103,14,6,42.2,55.93
104,11.5,1,16.59,9.49
104,11.5,2,25.06,17.45
104,11.5,4,28.07,26.43
104,11.5,6,33.94,32.68
105,11.5,1,3.33,3.76
105,11.5,2,5.95,18.43
105,11.5,4,12.6,25.07
105,11.5,6,17.35,26.21
106,5.5,1,10.4,8.9
106,5.5,2,16.77,18.5
106,5.5,4,24.48,29.46
106,5.5,6,33.41,40.61
107,5.5,1,12.07,11.12
107,5.5,2,21.76,15.11
107,5.5,4,26.29,32.66
107,5.5,6,36.28,41.24
108,5.5,1,18.41,13.24
108,5.5,2,21.55,14.35
108,5.5,4,29.27,31.27
108,5.5,6,41.58,47.59
109,11.5,1,20.04,19.83
109,11.5,2,23.33,41.13
109,11.5,4,33.35,38.95
109,11.5,6,34.81,49.17
110,11.5,1,19.55,18.96
110,11.5,2,25.73,14.85
110,11.5,4,33.79,34.64
110,11.5,6,35.46,44.53
111,11.5,1,19.32,11.09
111,11.5,2,22.8,29.02
111,11.5,4,34.57,35.31
111,11.5,6,36.96,38.9
112,11.5,1,17.51,8.51
112,11.5,2,18.59,17.38
112,11.5,4,21.53,35.9
112,11.5,6,32.53,43.3
113,11.5,1,24,27.73
113,11.5,2,26.64,35.38
113,11.5,4,35.33,52.44
113,11.5,6,39.61,55.22
114,14,1,21.98,28.66
114,14,2,24.78,38.61
114,14,4,36.24,51.17
114,14,6,49.99,58.79
115,11.5,1,30.8,30.36
115,11.5,2,35.07,41.56
115,11.5,4,51.34,58.59
115,11.5,6,72.59,61.57
116,11.5,1,16.89,19.1
116,11.5,2,30.13,38.46
116,11.5,4,33.93,37.86
116,11.5,6,44.67,63.9
117,9.5,1,19.26,14.01
117,9.5,2,28.68,34.68
117,9.5,4,36.31,39.06
117,9.5,6,46.86,55.63
118,5.5,1,29.08,15.28
118,5.5,2,28.04,19.82
118,5.5,4,37.4,25.77
118,5.5,6,46.26,35.9
119,11.5,1,22.59,27.86
119,11.5,2,32.49,41.91
119,11.5,4,41.73,48.95
119,11.5,6,47.53,50.75
120,9.5,1,13.21,12.69
120,9.5,2,24.42,32.88
120,9.5,4,29.82,41.49
120,9.5,6,64.09,69.14
121,5.5,1,19.93,3.38
121,5.5,2,25.13,10.6
121,5.5,4,30.97,29.19
121,5.5,6,34.84,43.81
122,9.5,1,14.23,12.98
122,9.5,2,15.89,17.47
122,9.5,4,27.22,41.03
122,9.5,6,39.08,51.74
123,14,1,22.74,27.56
123,14,2,35.61,39.19
123,14,4,43.13,46.66
123,14,6,53.69,57.84
124,11.5,1,19.08,27.12
124,11.5,2,27.13,32.59
124,11.5,4,36.28,49.73
124,11.5,6,54.66,56.83
125,11.5,1,21.73,19.48
125,11.5,2,30,42.17
125,11.5,4,43.04,57.6
125,11.5,6,60.89,77.19
126,14,1,26.93,23.53
126,14,2,30.24,39.49
126,14,4,47.1,47.67
126,14,6,64.75,57.37
127,11.5,1,22.5,22.76
127,11.5,2,29.82,36.68
127,11.5,4,33.3,39.13
127,11.5,6,48.9,72.35
128,8,1,19.45,14.8
128,8,2,21.55,18.74
128,8,4,25.36,36.75
128,8,6,42.59,60.12
129,11.5,1,17.1,7.71
129,11.5,2,23.21,21.19
129,11.5,4,35.15,33.61
129,11.5,6,44.18,46.28
130,9.5,1,16.52,9.29
130,9.5,2,17.05,10.78
130,9.5,4,31.9,21.6
130,9.5,6,33.78,35.15
131,14,1,23.08,22.37
131,14,2,26.16,16.82
131,14,4,35.15,35.6
131,14,6,52.83,45.87
132,11.5,1,20.27,14.35
132,11.5,2,20.92,31.75
132,11.5,4,37.59,39.57
132,11.5,6,48.21,59.37
133,14,1,26.5,27.02
133,14,2,30.95,44.08
133,14,4,40.1,39.68
133,14,6,55.68,61.34
134,14,1,26.74,17.04
134,14,2,29.49,29.61
134,14,4,42.22,44.31
134,14,6,43.51,55.74
135,11.5,1,20.71,21.54
135,11.5,2,28.29,31.06
135,11.5,4,33.57,34.72
135,11.5,6,46.88,64.5
136,11.5,1,21.7,13.59
136,11.5,2,23.07,25.71
136,11.5,4,24.88,38.47
136,11.5,6,35.67,38.98
137,11.5,1,21.28,19.5
137,11.5,2,27.46,28.36
137,11.5,4,28.81,39.45
137,11.5,6,45.77,50.25
138,9.5,1,17.08,7.82
138,9.5,2,22.16,22.75
138,9.5,4,31.85,25.91
138,9.5,6,43.72,53.31
139,11.5,1,18.99,25.79
139,11.5,2,27.32,30.98
139,11.5,4,25.52,42.43
139,11.5,6,41.79,50.09
140,11.5,1,26.74,36.36
140,11.5,2,37.29,57.12
140,11.5,4,44.11,66.49
140,11.5,6,53.57,78.71
141,11.5,1,17.1,17.8
141,11.5,2,19.7,29.75
141,11.5,4,25.64,52.15
141,11.5,6,39.29,53.42
142,9.5,1,13.79,12.15
142,9.5,2,15.25,23.64
142,9.5,4,23.78,30.36
142,9.5,6,31.47,41.4
143,14,1,14.82,28.37
143,14,2,34.32,45.08
143,14,4,35.19,47.85
143,14,6,46.19,60.24
144,11.5,1,13.85,6.41
144,11.5,2,25.19,16.89
144,11.5,4,23.57,17.46
144,11.5,6,31.85,38.76
145,5.5,1,10.71,16.21
145,5.5,2,21.7,26.58
145,5.5,4,27.26,40.96
145,5.5,6,35.36,45.96
146,14,1,20.18,23.81
146,14,2,27.16,39.28
146,14,4,33.35,32.88
146,14,6,50.25,55.65
147,14,1,32.6,20.42
147,14,2,39.85,37.43
147,14,4,42.62,46.02
147,14,6,54.64,65.81
148,11.5,1,18.39,17.75
148,11.5,2,21.03,25.99
148,11.5,4,35.48,37.58
148,11.5,6,36.46,43.34
149,9.5,1,9.97,12.71
149,9.5,2,16.79,24.07
149,9.5,4,21.74,31.44
149,9.5,6,19.06,30.54
150,9.5,1,19.35,18.56
150,9.5,2,25.98,19.14
150,9.5,4,32.8,34.42
150,9.5,6,40.1,52.48
151,14,1,20.76,33.47
151,14,2,27.05,35.74
151,14,4,34,52.29
151,14,6,49.12,58.74
152,14,1,24.15,28.16
152,14,2,24.26,37
152,14,4,33.14,43.64
152,14,6,52.25,61.97
153,11.5,1,22.29,22.64
153,11.5,2,26.15,30.77
153,11.5,4,31,46.94
153,11.5,6,47.11,65.24
154,14,1,28.33,31.49
154,14,2,32.5,33.12
154,14,4,44.08,45.13
154,14,6,61.46,59.88
155,11.5,1,16.37,7.73
155,11.5,2,25.98,19.52
155,11.5,4,30.74,42.36
155,11.5,6,37.59,43.33
156,5.5,1,15.06,15.26
156,5.5,2,16.68,25.57
156,5.5,4,27.35,32.14
156,5.5,6,34.61,48.06
157,11.5,1,10.09,2.42
157,11.5,2,17.74,8.14
157,11.5,4,17.14,17.77
157,11.5,6,21.28,23.99
158,5.5,1,18.36,17
158,5.5,2,12.96,20.27
158,5.5,4,26.55,39.03
158,5.5,6,29.48,57.11
159,8,1,13.13,0
159,8,2,17.04,7.83
159,8,4,23.63,7.81
159,8,6,22.84,10.26
160,14,1,18.41,21.52
160,14,2,23.05,33.31
160,14,4,35.13,41.34
160,14,6,47.41,55.8
161,11.5,1,15.95,17.66
161,11.5,2,30.13,25.43
161,11.5,4,32.63,44.15
161,11.5,6,43.44,57.27
162,11.5,1,6.59,9.01
162,11.5,2,18.51,17.84
162,11.5,4,28.56,35.15
162,11.5,6,31.06,47.82
163,11.5,1,18.14,14.97
163,11.5,2,26.92,18.74
163,11.5,4,37.11,35.99
163,11.5,6,54.33,51.9
164,11.5,1,21.65,22.36
164,11.5,2,24.73,30.84
164,11.5,4,28.79,46.37
164,11.5,6,42.78,65.33
165,5.5,1,16,16.2
165,5.5,2,20.6,15.86
165,5.5,4,26.29,29.89
165,5.5,6,38.81,38.93
166,8,1,18.94,13.26
166,8,2,17.08,20.43
166,8,4,24.84,31.05
166,8,6,29.35,45
167,11.5,1,18.36,21.95
167,11.5,2,30.46,18.69
167,11.5,4,28.42,37.75
167,11.5,6,41.28,40.67
168,9.5,1,16.52,10.06
168,9.5,2,18.14,21.88
168,9.5,4,27.65,38.39
168,9.5,6,34.78,53.83
169,9.5,1,19.54,14.35
169,9.5,2,26.32,20.18
169,9.5,4,30.74,21.34
169,9.5,6,40.58,41.99
170,11.5,1,28.42,24.36
170,11.5,2,28.66,32.06
170,11.5,4,39.91,47.95
170,11.5,6,43.62,49.76
171,11.5,1,29.36,25.3
171,11.5,2,32.14,22.63
171,11.5,4,41.41,24.04
171,11.5,6,56.16,36.82
172,11.5,1,13.11,11.61
172,11.5,2,18.35,27.77
172,11.5,4,18.54,42.38
172,11.5,6,38.65,59.33
173,14,1,26.64,25.56
173,14,2,26.09,37.5
173,14,4,34.36,37.4
173,14,6,44.39,67.06
174,14,1,23.59,22.6
174,14,2,26.52,35.64
174,14,4,29.42,44.43
174,14,6,41.86,46.84
175,11.5,1,31.12,30.34
175,11.5,2,28.23,33.94
175,11.5,4,35.86,48.74
175,11.5,6,59.05,64.75
176,9.5,1,20.03,9.21
176,9.5,2,20.7,15.09
176,9.5,4,30.13,24.48
176,9.5,6,33.72,30.23
177,8,1,8.66,13.7
177,8,2,17.35,20.33
177,8,4,27.56,30.73
177,8,6,28.18,31.8
178,14,1,15.33,10.78
178,14,2,23.02,21.68
178,14,4,33.62,32.37
178,14,6,44.58,51.79
179,14,1,12.43,15.34
179,14,2,19.2,20.81
179,14,4,27.11,30.29
179,14,6,37.74,42.74
180,11.5,1,23.18,20.07
180,11.5,2,33.75,37.75
180,11.5,4,46.77,49.73
180,11.5,6,66.61,63
181,18,1,26.71,22.02
181,18,2,24.52,24.61
181,18,4,31.47,36.49
181,18,6,55.8,39.73
182,18,1,27.56,20.19
182,18,2,33.48,30.53
182,18,4,40.09,39.88
182,18,6,58.82,48.74
183,11.5,1,15.46,12.08
183,11.5,2,22.51,21.49
183,11.5,4,32.05,47.33
183,11.5,6,39.12,51.38
184,14,1,21.4,46.58
184,14,2,29.72,55.74
184,14,4,36.61,64.99
184,14,6,69.52,86.65
185,5.5,1,17.16,14.65
185,5.5,2,16.92,25.2
185,5.5,4,28.66,41.09
185,5.5,6,34.94,46.42
186,14,1,20.65,14.5
186,14,2,26.71,48.12
186,14,4,33.66,58.29
186,14,6,57.68,66.1
187,14,1,22.1,19.82
187,14,2,29.69,33.78
187,14,4,38.42,51.07
187,14,6,55.24,68.95
188,11.5,1,14.75,12.68
188,11.5,2,20.65,24.52
188,11.5,4,27.13,34.86
188,11.5,6,38.9,45.43
189,14,1,30.86,36.22
189,14,2,32.46,44.3
189,14,4,40.77,53.24
189,14,6,56.37,70.96
190,11.5,1,22.44,18.57
190,11.5,2,38.14,28.54
190,11.5,4,38.75,34.71
190,11.5,6,55.83,43.84
191,14,1,15.48,19.9
191,14,2,32.16,31.26
191,14,4,34.49,40.19
191,14,6,51.18,50.58
192,11.5,1,26.58,7.36
192,11.5,2,25.33,12.12
192,11.5,4,36.03,17.63
192,11.5,6,40.27,23.35
193,5.5,1,18.51,16.78
193,5.5,2,19.15,18.89
193,5.5,4,31.58,37.21
193,5.5,6,39.12,38.43
194,11.5,1,17.72,11.15
194,11.5,2,25.36,15.22
194,11.5,4,31.56,37.06
194,11.5,6,38.24,46.42
195,8,1,6.1,4.71
195,8,2,20.57,12.15
195,8,4,21.68,22.34
195,8,6,40.95,28.76
196,9.5,1,20.03,15.91
196,9.5,2,27.25,29.21
196,9.5,4,30.01,38.22
196,9.5,6,39.46,54.73
197,9.5,1,19.2,15.09
197,9.5,2,28.1,31.77
197,9.5,4,24.64,41.26
197,9.5,6,34.26,52.25
198,11.5,1,20.71,19.99
198,11.5,2,26.88,39.78
198,11.5,4,29.42,43.51
198,11.5,6,48.68,58.82
199,14,1,32.23,22.21
199,14,2,30.68,29.63
199,14,4,37.13,38.24
199,14,6,60.83,64.31
200,14,1,22.49,31.45
200,14,2,34.63,59.58
200,14,4,36.7,75.61
200,14,6,43.33,89.01
201,11.5,1,22.23,17.22
201,11.5,2,28.04,22.92
201,11.5,4,37.38,32.07
201,11.5,6,48.9,46.83
202,8,1,15.77,11.14
202,8,2,23.96,24.38
202,8,4,26.76,36.12
202,8,6,36.67,38.11
203,11.5,1,24.27,18.86
203,11.5,2,29.66,37.38
203,11.5,4,37.22,35.3
203,11.5,6,50.88,52.63
204,14,1,24.29,25.99
204,14,2,30.34,33.18
204,14,4,35.25,32.27
204,14,6,54.54,61.14
